Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Dataleverandør;Dataansvarlig;Beregner;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Beregningsmetode;Kontrol;Kvalitet
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080325";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,68566656112671";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080324";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,99379825592041";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080323";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"5,31816911697388";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080322";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"5,38361883163452";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080321";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,88742160797119";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080320";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"2,92918276786804";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080319";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,16146874427795";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080318";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,54760074615479";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080317";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,91781258583069";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080316";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,2824535369873";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080315";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"4,20405626296997";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080314";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,41486930847168";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080313";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"3,02663683891296";"Beregnet ud fra referencestation";"FagK";"GODK"
