Index,Vandløb,Lokation,UTMx,UTMy, longitude, latitude
144,BREDE Å,BREDE Å; V FOR LØGUMKLOSTER - OS STYRT,495770,6101004,8.933781785,55.05581059
145,BREDE Å,BREDE Å; BREDEBRO,488845,6101729,8.825346924,55.06221844
146,ELVERDAMSÅEN,ELVERDAMSÅEN; V. KRAGEBRO,675801,6168971,11.79290177,55.63478162
147,NÆS Å,NÆS Å; PUMPESTATION,681409,6105090,11.84050783,55.05940984
148,BUSTRUP Å,BUSTRUP Å; V FOR BUSTRUP-OS RENSEANLÆG,488279,6270229,8.809218169,56.57620555
149,MAUSING MØLLEBÆK,MAUSING MØLLEBÆK; VED ENGBRO,528948,6233710,9.467139835,56.24737115
153,NØRUP BÆK,NØRUP BÆK; Ø.F.NØRUP,520270,6175560,9.322723113,55.72535318
154,Hoptrup BÆk,Hoptrup BÆk; Umiddelbart før udløb i Hoptru,529278,6115022,9.459766716,55.18093116
155,GRAM Å,GRAM Å; VRÅGÅRD,507420,6127791,9.116857827,55.29648496
156,GRAM Å,GRAM Å; PETERSHOLM,510761,6127078,9.169447829,55.29001631
157,Grenåen,Grenåen; Ved Århusvej; Sønderbro,615700,6253413,10.87520602,56.41110113
158,LØJENKÆR BÆK,LØJENKÆR BÆK; VEST FOR FRYDENSLUND,567253,6210614,10.07935668,56.03602051
160,PULVERBÆK,PULVERBÆK; T.T.MJANG DAM; ALS,559626,6089410,9.930926702,54.94807645
162,HERREDSBÆK,HERREDSBÆK; SV FOR KLUDEEGEN,693829,6118464,12.04380524,55.17473411
163,Gudenå,Gudenå; Mellem nadal sø og Vestbirk sø,544003,6202634,9.704946739,55.96702585
164,Gudenå,Gudenå; Tilløb til Brassø,536775,6221649,9.59176867,56.1384718
165,Gudenå,Gudenå; Randers Bro,564072,6257411,10.03964375,56.45683954
166,Gudenå,Gudenå; Gennem Vestbirk kraftvÆrk,543716,6203715,9.70052474,55.9767641
168,STILDE Å,STILDE Å; OS SURHAVE FISKERI,499218,6152340,8.987615447,55.51713308
169,SURBÆK,SURBÆK; Ø FOR SVEJLUND,510556,6102599,9.165306837,55.0700496
170,VANDDAM V.KRISTIANH.DAMB.,VANDDAM V.KRISTIANH.DAMB.; OPSTRØMS KRISTIANSHEDE DAMB.,526143,6219029,9.420432147,56.11563321
172,VEJERSLEV BÆK,VEJERSLEV BÆK; AMSTERDAM,481335,6286905,8.694985639,56.7257958
174,Ramme Å,Ramme Å; Vestermølle,449158,6258174,8.174851563,56.46530581
175,ØKSENMØLLE BÆK,ØKSENMØLLE BÆK; BRO NS GRÅSKEBÆK,603329,6238786,10.66905794,56.2826097
176,ØKSENMØLLE BÆK,ØKSENMØLLE BÆK; SKOVVEJ OS SØ,605079,6237405,10.69676223,56.26982335
177,ØKSENMØLLE BÆK,ØKSENMØLLE BÆK; SØHOLT SKOV; OPST. DAMBRUG,604994,6237205,10.69531091,56.26804603
178,HOSTRUP Å,HOSTRUP Å; AFLØB FRA HOSTRUP SØ,527460,6089513,9.428761204,54.95180979
180,SKJELLEGRØFTEN,SKJELLEGRØFTEN; SKJELLERUPGRØFTEN,531246,6235101,9.504385879,56.25972269
181,STRØMMESBØL BÆK,STRØMMESBØL BÆK; VED EJBÆKBRO,471270,6193813,8.540660422,55.88892766
182,STRØMMESBØL BÆK,STRØMMESBØL BÆK; VEST FOR GL. PRÆSTEGÅRD,473007,6191958,8.568615786,55.8723612
184,Von Å,Von Å; vejbro Nr. Viumvej,483370,6206260,8.73334652,56.00133274
185,Von Å,Von Å; Von Å efter afløb fra Kulsø,482391,6206391,8.717640386,56.00247481
186,GRAVERRENDEN,GRAVERRENDEN; LANGTVED FÆRGEKRO,677045,6173336,11.81545012,55.67350462
187,Hinge å,Hinge å; Afløb fra Alling sø,537597,6236068,9.60703794,56.26795012
188,Hinge å,Hinge å; Tilløb til Alling sø,536321,6235904,9.586414454,56.26657603
191,KØNG Å,KØNG Å; PUMPESTATION INDV.,681131,6106803,11.83724916,55.07488594
192,LINÅ,LINÅ; NEDST.SKJELLERUP MØLLE DAMB.,541243,6226793,9.664458113,56.18432083
193,HYLTE BÆK,HYLTE BÆK; Afløb Ballen Rens.; os Nr. Vissing-Veng vej,554072,6219282,9.869594811,56.11556109
194,NAUTRUP BÆK,NAUTRUP BÆK; OS VIGEN DAMBRUG,494348,6255102,8.908331131,56.44041401
195,GEELS Å,GEELS Å; 3.45,596579,6144006,10.52632326,55.43272723
196,Tilløb til Bondedammen,Tilløb til Bondedammen; NØ for HellebÆk Avlsgård,720733,6218388,12.5455272,56.05965522
198,GIBER Å,GIBER Å; FULDEN VEJ,576245,6215294,10.22496819,56.07671347
199,GIBER Å,GIBER Å; FULDEN,576123,6215091,10.22295086,56.07490939
200,BRØDENS GRØFT,BRØDENS GRØFT; BRO V.BROGÅRD; HADSUND-ALS VEJ,574868,6289853,10.22416874,56.74664426
201,BRYRUP Å,BRYRUP Å; AFLØB BRYRUP LANGSØ,532224,6208621,9.516969772,56.02175124
202,HJORTVAD Å,HJORTVAD Å; KALVSLUND,491949,6135584,8.872980781,55.36650223
203,HJORTVAD Å,HJORTVAD Å; V. BREMKROG,490038,6135543,8.842832843,55.36609877
204,Tilløb til Hjulby Mose-rør 1,Tilløb til Hjulby Mose-rør 1; Nordlige rør fra Vindinge Å,609021,6132876,10.7185208,55.33014973
205,LADING SØ; TILLØB,LADING SØ; TILLØB; LADING SØ; TILLØB SØ F LADING,560257,6230719,9.97163854,56.2175642
206,Nimtofte Å,Nimtofte Å; Vest for Ramten Sø; vejen mod Ramten Hed,599805,6255934,10.61867491,56.43736721
207,SurkÆr Busholm BÆk; tilløb til SkallebÆk,SurkÆr Busholm BÆk; tilløb til SkallebÆk; NV Rådvad,527365,6154029,9.433540063,55.53154349
210,Kelds Nor tilløb 4,Kelds Nor tilløb 4; Eskebjerg,609320,6066400,10.6977918,54.73297148
211,NIMTOFTE Å,NIMTOFTE Å; BRO VEDØ,598524,6249335,10.59542633,56.3783717
